layer,source,target,value
2,1,87,1
2,1,90,1
2,1,110,1
2,2,90,1
2,2,100,1
2,3,20,1
2,3,29,1
2,3,35,1
2,4,7,1
2,4,33,1
2,4,106,1
2,5,12,1
2,5,65,1
2,5,99,1
2,6,29,1
2,6,31,1
2,6,43,1
2,7,92,1
2,7,106,1
2,8,36,1
2,8,55,1
2,8,83,1
2,9,21,1
2,9,22,1
2,9,23,1
2,10,88,1
2,10,89,1
2,10,117,1
2,11,36,1
2,11,49,1
2,11,55,1
2,12,5,1
2,12,42,1
2,12,102,1
2,13,20,1
2,13,37,1
2,13,82,1
2,14,57,1
2,14,87,1
2,14,113,1
2,15,5,1
2,15,29,1
2,15,54,1
2,16,29,1
2,16,37,1
2,16,98,1
2,17,11,1
2,17,36,1
2,17,100,1
2,18,82,1
2,18,83,1
2,18,93,1
2,19,36,1
2,19,41,1
2,19,96,1
2,20,29,1
2,20,37,1
2,20,46,1
2,21,23,1
2,21,42,1
2,21,77,1
2,22,23,1
2,22,51,1
2,22,77,1
2,23,22,1
2,23,77,1
2,23,86,1
2,24,22,1
2,24,95,1
2,25,66,1
2,26,32,1
2,26,42,1
2,26,45,1
2,27,77,1
2,27,92,1
2,27,101,1
2,28,11,1
2,28,90,1
2,28,98,1
2,29,3,1
2,29,31,1
2,29,37,1
2,30,90,1
2,30,98,1
2,30,100,1
2,31,29,1
2,31,44,1
2,32,55,1
2,32,109,1
2,32,111,1
2,33,3,1
2,33,35,1
2,33,87,1
2,34,65,1
2,34,98,1
2,34,103,1
2,35,3,1
2,35,114,1
2,36,11,1
2,36,29,1
2,36,94,1
2,37,13,1
2,37,20,1
2,38,4,1
2,38,106,1
2,39,29,1
2,39,31,1
2,39,41,1
2,40,44,1
2,40,46,1
2,40,100,1
2,41,36,1
2,41,46,1
2,41,55,1
2,42,45,1
2,42,101,1
2,42,102,1
2,43,46,1
2,43,69,1
2,43,99,1
2,44,31,1
2,44,40,1
2,44,100,1
2,45,84,1
2,45,96,1
2,45,101,1
2,46,3,1
2,46,37,1
2,46,81,1
2,47,20,1
2,47,46,1
2,47,82,1
2,48,17,1
2,48,28,1
2,48,100,1
2,49,54,1
2,49,56,1
2,51,3,1
2,51,31,1
2,52,21,1
2,52,81,1
2,52,100,1
2,53,36,1
2,53,98,1
2,53,102,1
2,54,56,1
2,54,89,1
2,54,117,1
2,55,28,1
2,55,41,1
2,55,109,1
2,56,6,1
2,56,29,1
2,56,94,1
2,57,14,1
2,57,29,1
2,57,31,1
2,58,11,1
2,58,98,1
2,58,111,1
2,59,45,1
2,59,101,1
2,60,12,1
2,60,45,1
2,60,81,1
2,61,67,1
2,61,83,1
2,61,110,1
2,62,27,1
2,62,91,1
2,62,92,1
2,63,104,1
2,63,111,1
2,64,59,1
2,64,69,1
2,65,69,1
2,65,87,1
2,65,110,1
2,66,25,1
2,66,28,1
2,66,95,1
2,67,61,1
2,67,83,1
2,67,110,1
2,68,56,1
2,69,3,1
2,69,31,1
2,69,43,1
2,70,94,1
2,71,4,1
2,71,34,1
2,71,106,1
2,72,41,1
2,72,43,1
2,72,101,1
2,73,34,1
2,73,56,1
2,73,57,1
2,74,89,1
2,75,41,1
2,76,27,1
2,76,36,1
2,76,90,1
2,77,22,1
2,77,23,1
2,77,27,1
2,78,1,1
2,78,22,1
2,78,27,1
2,80,36,1
2,80,41,1
2,80,106,1
2,81,43,1
2,81,46,1
2,81,100,1
2,82,20,1
2,82,46,1
2,82,47,1
2,84,45,1
2,84,96,1
2,84,102,1
2,85,10,1
2,85,87,1
2,85,117,1
2,87,42,1
2,87,44,1
2,87,46,1
2,90,11,1
2,90,93,1
2,90,109,1
2,92,27,1
2,92,55,1
2,92,66,1
2,93,11,1
2,93,36,1
2,93,100,1
2,94,54,1
2,94,89,1
2,95,24,1
2,95,28,1
2,95,36,1
2,96,36,1
2,96,93,1
2,96,100,1
2,97,70,1
2,97,106,1
2,97,109,1
2,98,11,1
2,98,29,1
2,98,100,1
2,99,6,1
2,99,29,1
2,99,94,1
2,100,52,1
2,100,81,1
2,100,98,1
2,101,45,1
2,101,93,1
2,101,113,1
2,102,42,1
2,102,45,1
2,102,84,1
2,103,43,1
2,103,95,1
2,103,116,1
2,104,63,1
2,104,109,1
2,104,111,1
2,105,11,1
2,105,55,1
2,105,83,1
2,106,4,1
2,107,7,1
2,107,106,1
2,108,36,1
2,108,53,1
2,108,55,1
