"row ID","sum_1"
"Row1",7
"Row2",5
"Row3",15
"Row4",8
"Row5",10
"Row6",6
"Row7",8
"Row8",8
"Row9",8
"Row10",9
"Row11",14
"Row12",7
"Row13",4
"Row14",5
"Row15",4
"Row16",4
"Row17",5
"Row18",6
"Row19",5
"Row20",10
"Row21",7
"Row22",11
"Row23",11
"Row24",4
"Row25",5
"Row26",6
"Row27",10
"Row28",11
"Row29",26
"Row30",6
"Row31",14
"Row32",5
"Row33",8
"Row34",8
"Row35",9
"Row36",17
"Row37",9
"Row38",4
"Row39",3
"Row40",8
"Row41",12
"Row42",9
"Row43",10
"Row44",9
"Row45",10
"Row46",18
"Row47",8
"Row48",9
"Row49",7
"Row50",7
"Row51",11
"Row52",10
"Row53",8
"Row54",13
"Row55",15
"Row56",13
"Row57",9
"Row58",9
"Row59",4
"Row60",8
"Row61",9
"Row62",7
"Row63",3
"Row64",5
"Row65",9
"Row66",6
"Row67",8
"Row68",5
"Row69",9
"Row70",4
"Row71",5
"Row72",4
"Row73",3
"Row74",2
"Row75",3
"Row76",5
"Row77",4
"Row78",8
"Row79",7
"Row80",6
"Row81",8
"Row82",6
"Row83",11
"Row84",5
"Row85",4
"Row86",5
"Row87",13
"Row88",2
"Row89",7
"Row90",13
"Row91",5
"Row92",9
"Row93",15
"Row94",17
"Row95",10
"Row96",9
"Row97",9
"Row98",16
"Row99",8
"Row100",16
"Row101",11
"Row102",11
"Row103",9
"Row104",8
"Row105",4
"Row106",12
"Row107",4
"Row108",7
"Row109",7
"Row110",6
"Row111",9
"Row112",2
"Row113",2
"Row114",4
"Row115",2
"Row116",2
"Row117",3
"Row118",6
"Row119",5
"Row120",8
"Row121",4
"Row122",28
"Row123",9
"Row124",3
"Row125",9
"Row126",6
"Row127",7
"Row128",7
"Row129",4
"Row130",8
"Row131",7
"Row132",6
"Row133",7
"Row134",5
"Row135",8
"Row136",6
"Row137",6
"Row138",4
"Row139",7
"Row140",9
"Row141",22
"Row142",6
"Row143",8
"Row144",9
"Row145",18
"Row146",7
"Row147",10
"Row148",8
"Row149",7
"Row150",10
"Row151",5
"Row152",12
"Row153",10
"Row155",6
"Row156",3
"Row157",5
"Row158",3
"Row159",6
"Row160",6
"Row161",2
"Row162",3
"Row163",9
"Row164",7
"Row166",3
"Row167",4
"Row168",7
"Row169",5
"Row170",4
"Row171",7
"Row172",6
"Row173",11
"Row174",7
"Row175",9
"Row176",10
"Row177",5
"Row178",4
"Row179",5
"Row180",11
"Row181",9
"Row182",9
"Row183",9
"Row184",5
"Row185",9
"Row186",7
"Row187",8
"Row188",10
"Row189",5
"Row190",13
"Row191",15
"Row192",6
"Row193",9
"Row194",10
"Row196",2
"Row197",3
"Row198",7
"Row199",5
"Row200",5
"Row202",2
"Row204",5
"Row205",2
"Row206",5
"Row207",9
"Row208",6
"Row209",8
"Row210",6
"Row211",4
"Row212",6
"Row213",5
"Row214",10
"Row215",8
"Row216",14
"Row217",14
"Row218",9
"Row219",6
"Row220",4
"Row221",8
"Row222",8
"Row223",4
"Row224",6
"Row225",11
"Row226",8
"Row227",4
"Row228",2
"Row229",10
"Row230",10
"Row231",14
"Row232",15
"Row233",12
"Row234",11
"Row235",6
"Row236",5
"Row237",12
"Row238",5
"Row239",8
"Row240",8
"Row241",1
"Row242",12
"Row243",8
"Row244",2
"Row245",6
"Row246",2
