"source","target","dominates"
"Da Udine","Bellini",1
"Da Udine","Palma Vecchio",1
"Da Udine","Caravaggio",1
"Da Vinci","Guilio Romano",1
"Da Vinci","Testa",1
"Del Piombo","Perugino",1
"Del Piombo","Bellini",1
"Del Piombo","Murillo",1
"Del Piombo","Palma Vecchio",1
"Del Piombo","Caravaggio",1
"Del Piombo","Van Leyden",1
"Del Sarto","Fr. Penni",1
"Del Sarto","F. Zucarro",1
"Del Sarto","Parmigiano",1
"Del Sarto","Volterra",1
"Del Sarto","Josepin",1
"Del Sarto","Testa",1
"Del Sarto","Pourbus",1
"Del Sarto","Van Leyden",1
"Del Sarto","Bourdon",1
"Guilio Romano","Da Vinci",1
"Guilio Romano","Testa",1
"Perino del Vaga","Parmigiano",1
"Perino del Vaga","Josepin",1
"Perino del Vaga","Testa",1
"Perino del Vaga","Pourbus",1
"Perino del Vaga","Van Leyden",1
"Raphael","Da Vinci",1
"Raphael","Del Sarto",1
"Raphael","Fr. Penni",1
"Raphael","Guilio Romano",1
"Raphael","Michelangelo",1
"Raphael","Perino del Vaga",1
"Raphael","Perugino",1
"Raphael","F. Zucarro",1
"Raphael","Fr. Salviata",1
"Raphael","Parmigiano",1
"Raphael","Primaticcio",1
"Raphael","T. Zucarro",1
"Raphael","Volterra",1
"Raphael","Barocci",1
"Raphael","Cortona",1
"Raphael","Josepin",1
"Raphael","L. Jordaens",1
"Raphael","Testa",1
"Raphael","Vanius",1
"Raphael","Albani",1
"Raphael","Domenichino",1
"Raphael","Lanfranco",1
"Raphael","Durer",1
"Raphael","Pourbus",1
"Raphael","Van Leyden",1
"Raphael","Otho Venius",1
"Raphael","Bourdon",1
"Raphael","Le Brun",1
"Raphael","Le Suer",1
"Raphael","Poussin",1
"F. Zucarro","Josepin",1
"F. Zucarro","Van Leyden",1
"F. Zucarro","Bourdon",1
"Fr. Salviata","Fr. Penni",1
"Fr. Salviata","F. Zucarro",1
"Fr. Salviata","Parmigiano",1
"Fr. Salviata","Volterra",1
"Fr. Salviata","Josepin",1
"Fr. Salviata","Testa",1
"Fr. Salviata","Pourbus",1
"Fr. Salviata","Van Leyden",1
"Fr. Salviata","Bourdon",1
"Parmigiano","Josepin",1
"Parmigiano","Pourbus",1
"Parmigiano","Van Leyden",1
"Primaticcio","Josepin",1
"Primaticcio","Van Leyden",1
"T. Zucarro","Perugino",1
"T. Zucarro","F. Zucarro",1
"T. Zucarro","Josepin",1
"T. Zucarro","L. Jordaens",1
"T. Zucarro","Durer",1
"T. Zucarro","Van Leyden",1
"T. Zucarro","Bourdon",1
"Volterra","Testa",1
"Barocci","Parmigiano",1
"Barocci","Volterra",1
"Barocci","Josepin",1
"Barocci","Testa",1
"Barocci","Pourbus",1
"Barocci","Van Leyden",1
"Cortona","Perugino",1
"Cortona","Josepin",1
"Cortona","L. Jordaens",1
"Cortona","Albani",1
"Cortona","Lanfranco",1
"Cortona","Van Leyden",1
"Cortona","Bourdon",1
