"source","target","dominates"
"Da Udine","Fr. Penni",1
"Da Udine","Josepin",1
"Da Udine","Bellini",1
"Da Udine","Palma Vecchio",1
"Da Udine","Caravaggio",1
"Da Vinci","Da Udine",1
"Da Vinci","Fr. Penni",1
"Da Vinci","Guilio Romano",1
"Da Vinci","Perugino",1
"Da Vinci","Josepin",1
"Da Vinci","Testa",1
"Da Vinci","Bellini",1
"Da Vinci","Murillo",1
"Da Vinci","Palma Vecchio",1
"Da Vinci","Tintoretto",1
"Da Vinci","Veronese",1
"Da Vinci","Caravaggio",1
"Da Vinci","Pourbus",1
"Da Vinci","Van Leyden",1
"Da Vinci","Bourdon",1
"Del Piombo","Da Udine",1
"Del Piombo","Fr. Penni",1
"Del Piombo","Perugino",1
"Del Piombo","Parmigiano",1
"Del Piombo","Volterra",1
"Del Piombo","Josepin",1
"Del Piombo","Testa",1
"Del Piombo","Bellini",1
"Del Piombo","Murillo",1
"Del Piombo","Palma Vecchio",1
"Del Piombo","Caravaggio",1
"Del Piombo","Pourbus",1
"Del Piombo","Van Leyden",1
"Del Piombo","J. Jordaens",1
"Del Piombo","Bourdon",1
"Del Sarto","Da Udine",1
"Del Sarto","Fr. Penni",1
"Del Sarto","Perugino",1
"Del Sarto","F. Zucarro",1
"Del Sarto","Parmigiano",1
"Del Sarto","Volterra",1
"Del Sarto","Josepin",1
"Del Sarto","L. Jordaens",1
"Del Sarto","Testa",1
"Del Sarto","Bellini",1
"Del Sarto","Murillo",1
"Del Sarto","Palma Giovane",1
"Del Sarto","Palma Vecchio",1
"Del Sarto","Caravaggio",1
"Del Sarto","Durer",1
"Del Sarto","Pourbus",1
"Del Sarto","Van Leyden",1
"Del Sarto","J. Jordaens",1
"Del Sarto","Bourdon",1
"Guilio Romano","Da Udine",1
"Guilio Romano","Da Vinci",1
"Guilio Romano","Fr. Penni",1
"Guilio Romano","Perugino",1
"Guilio Romano","Josepin",1
"Guilio Romano","Testa",1
"Guilio Romano","Bellini",1
"Guilio Romano","Murillo",1
"Guilio Romano","Palma Vecchio",1
"Guilio Romano","Tintoretto",1
"Guilio Romano","Veronese",1
"Guilio Romano","Caravaggio",1
"Guilio Romano","Pourbus",1
"Guilio Romano","Van Leyden",1
"Guilio Romano","Bourdon",1
"Michelangelo","Fr. Penni",1
"Michelangelo","Bassano",1
"Michelangelo","Bellini",1
"Michelangelo","Murillo",1
"Michelangelo","Palma Vecchio",1
"Michelangelo","Caravaggio",1
"Michelangelo","Pourbus",1
"Michelangelo","Van Leyden",1
"Michelangelo","Bourdon",1
"Perino del Vaga","Fr. Penni",1
"Perino del Vaga","Perugino",1
"Perino del Vaga","Parmigiano",1
"Perino del Vaga","Josepin",1
"Perino del Vaga","Testa",1
"Perino del Vaga","Bellini",1
"Perino del Vaga","Murillo",1
"Perino del Vaga","Palma Vecchio",1
"Perino del Vaga","Caravaggio",1
"Perino del Vaga","Pourbus",1
"Perino del Vaga","Van Leyden",1
"Raphael","Da Udine",1
"Raphael","Da Vinci",1
"Raphael","Del Piombo",1
"Raphael","Del Sarto",1
"Raphael","Fr. Penni",1
"Raphael","Guilio Romano",1
"Raphael","Michelangelo",1
"Raphael","Perino del Vaga",1
"Raphael","Perugino",1
"Raphael","F. Zucarro",1
"Raphael","Fr. Salviata",1
"Raphael","Parmigiano",1
"Raphael","Primaticcio",1
"Raphael","T. Zucarro",1
"Raphael","Volterra",1
"Raphael","Barocci",1
"Raphael","Cortona",1
"Raphael","Josepin",1
"Raphael","L. Jordaens",1
"Raphael","Testa",1
"Raphael","Vanius",1
"Raphael","Bassano",1
"Raphael","Bellini",1
"Raphael","Giorgione",1
"Raphael","Murillo",1
"Raphael","Palma Giovane",1
"Raphael","Palma Vecchio",1
"Raphael","Pordenone",1
"Raphael","Tintoretto",1
"Raphael","Titian",1
"Raphael","Veronese",1
"Raphael","Albani",1
"Raphael","Caravaggio",1
"Raphael","Corregio",1
"Raphael","Domenichino",1
"Raphael","Guercino",1
"Raphael","Lanfranco",1
"Raphael","Durer",1
"Raphael","Holbein",1
"Raphael","Pourbus",1
"Raphael","Van Leyden",1
"Raphael","Diepenbeck",1
"Raphael","J. Jordaens",1
"Raphael","Otho Venius",1
"Raphael","Rembrandt",1
"Raphael","Teniers",1
"Raphael","Van Dyck",1
"Raphael","Bourdon",1
"Raphael","Le Brun",1
"Raphael","Le Suer",1
"Raphael","Poussin",1
"F. Zucarro","Perugino",1
"F. Zucarro","Josepin",1
"F. Zucarro","Durer",1
"F. Zucarro","Van Leyden",1
"F. Zucarro","Bourdon",1
"Fr. Salviata","Fr. Penni",1
"Fr. Salviata","Perugino",1
"Fr. Salviata","F. Zucarro",1
"Fr. Salviata","Parmigiano",1
"Fr. Salviata","Volterra",1
"Fr. Salviata","Josepin",1
"Fr. Salviata","Testa",1
"Fr. Salviata","Bellini",1
"Fr. Salviata","Murillo",1
"Fr. Salviata","Durer",1
"Fr. Salviata","Pourbus",1
"Fr. Salviata","Van Leyden",1
"Fr. Salviata","Bourdon",1
"Parmigiano","Fr. Penni",1
"Parmigiano","Perugino",1
"Parmigiano","Josepin",1
"Parmigiano","Bellini",1
"Parmigiano","Murillo",1
"Parmigiano","Pourbus",1
"Parmigiano","Van Leyden",1
"Primaticcio","Fr. Penni",1
"Primaticcio","Perugino",1
"Primaticcio","Parmigiano",1
"Primaticcio","Volterra",1
"Primaticcio","Barocci",1
"Primaticcio","Josepin",1
"Primaticcio","L. Jordaens",1
"Primaticcio","Testa",1
"Primaticcio","Bellini",1
"Primaticcio","Murillo",1
"Primaticcio","Palma Giovane",1
"Primaticcio","Albani",1
"Primaticcio","Lanfranco",1
"Primaticcio","Pourbus",1
"Primaticcio","Van Leyden",1
"Primaticcio","Diepenbeck",1
"Primaticcio","Bourdon",1
"T. Zucarro","Perugino",1
"T. Zucarro","F. Zucarro",1
"T. Zucarro","Josepin",1
"T. Zucarro","L. Jordaens",1
"T. Zucarro","Bellini",1
"T. Zucarro","Palma Giovane",1
"T. Zucarro","Lanfranco",1
"T. Zucarro","Durer",1
"T. Zucarro","Van Leyden",1
"T. Zucarro","Diepenbeck",1
"T. Zucarro","Bourdon",1
"Volterra","Fr. Penni",1
"Volterra","Perugino",1
"Volterra","Josepin",1
"Volterra","Testa",1
"Volterra","Bellini",1
"Volterra","Murillo",1
"Volterra","Pourbus",1
"Volterra","Van Leyden",1
"Volterra","Bourdon",1
"Barocci","Fr. Penni",1
"Barocci","Perugino",1
"Barocci","Parmigiano",1
"Barocci","Volterra",1
"Barocci","Josepin",1
"Barocci","L. Jordaens",1
"Barocci","Testa",1
"Barocci","Bellini",1
"Barocci","Murillo",1
"Barocci","Palma Giovane",1
"Barocci","Albani",1
"Barocci","Lanfranco",1
"Barocci","Pourbus",1
"Barocci","Van Leyden",1
"Barocci","Diepenbeck",1
"Barocci","Bourdon",1
"Cortona","Da Udine",1
"Cortona","Fr. Penni",1
"Cortona","Perugino",1
"Cortona","Parmigiano",1
"Cortona","Volterra",1
"Cortona","Barocci",1
"Cortona","Josepin",1
"Cortona","L. Jordaens",1
"Cortona","Testa",1
"Cortona","Bellini",1
"Cortona","Murillo",1
"Cortona","Palma Giovane",1
"Cortona","Palma Vecchio",1
"Cortona","Albani",1
"Cortona","Caravaggio",1
"Cortona","Lanfranco",1
"Cortona","Pourbus",1
"Cortona","Van Leyden",1
"Cortona","Diepenbeck",1
"Cortona","J. Jordaens",1
"Cortona","Teniers",1
"Cortona","Bourdon",1
"L. Jordaens","Perugino",1
"L. Jordaens","Josepin",1
"L. Jordaens","Van Leyden",1
"L. Jordaens","Bourdon",1
"Testa","Fr. Penni",1
"Testa","Bellini",1
"Vanius","Fr. Penni",1
"Vanius","Perugino",1
"Vanius","F. Zucarro",1
"Vanius","Fr. Salviata",1
"Vanius","Parmigiano",1
"Vanius","Primaticcio",1
"Vanius","T. Zucarro",1
"Vanius","Volterra",1
"Vanius","Barocci",1
"Vanius","Josepin",1
"Vanius","L. Jordaens",1
"Vanius","Testa",1
"Vanius","Bellini",1
"Vanius","Murillo",1
"Vanius","Palma Giovane",1
"Vanius","Albani",1
"Vanius","Corregio",1
"Vanius","Lanfranco",1
"Vanius","Durer",1
"Vanius","Pourbus",1
"Vanius","Van Leyden",1
"Vanius","Diepenbeck",1
"Vanius","Otho Venius",1
"Vanius","Teniers",1
"Vanius","Bourdon",1
"Bassano","Fr. Penni",1
"Bassano","Bellini",1
"Bassano","Palma Vecchio",1
"Bassano","Caravaggio",1
"Giorgione","Fr. Penni",1
"Giorgione","Michelangelo",1
"Giorgione","Bassano",1
"Giorgione","Bellini",1
"Giorgione","Murillo",1
"Giorgione","Palma Vecchio",1
"Giorgione","Caravaggio",1
"Giorgione","Pourbus",1
"Giorgione","Van Leyden",1
"Giorgione","Bourdon",1
"Murillo","Fr. Penni",1
"Murillo","Bellini",1
"Murillo","Pourbus",1
"Murillo","Van Leyden",1
"Palma Giovane","Perugino",1
"Palma Giovane","Josepin",1
"Palma Giovane","L. Jordaens",1
"Palma Giovane","Bellini",1
"Palma Giovane","Van Leyden",1
"Palma Giovane","Bourdon",1
"Palma Vecchio","Bellini",1
"Pordenone","Da Udine",1
"Pordenone","Fr. Penni",1
"Pordenone","Michelangelo",1
"Pordenone","Perugino",1
"Pordenone","Volterra",1
"Pordenone","Josepin",1
"Pordenone","Testa",1
"Pordenone","Bassano",1
"Pordenone","Bellini",1
"Pordenone","Murillo",1
"Pordenone","Palma Vecchio",1
"Pordenone","Caravaggio",1
"Pordenone","Pourbus",1
"Pordenone","Van Leyden",1
"Pordenone","Bourdon",1
"Tintoretto","Da Udine",1
"Tintoretto","Da Vinci",1
"Tintoretto","Fr. Penni",1
"Tintoretto","Guilio Romano",1
"Tintoretto","Perugino",1
"Tintoretto","Josepin",1
"Tintoretto","Testa",1
"Tintoretto","Bellini",1
"Tintoretto","Murillo",1
"Tintoretto","Palma Vecchio",1
"Tintoretto","Veronese",1
"Tintoretto","Caravaggio",1
"Tintoretto","Pourbus",1
"Tintoretto","Van Leyden",1
"Tintoretto","Bourdon",1
"Titian","Da Udine",1
"Titian","Fr. Penni",1
"Titian","Michelangelo",1
"Titian","Perino del Vaga",1
"Titian","Perugino",1
"Titian","Parmigiano",1
"Titian","Volterra",1
"Titian","Barocci",1
"Titian","Cortona",1
"Titian","Josepin",1
"Titian","L. Jordaens",1
"Titian","Testa",1
"Titian","Bassano",1
"Titian","Bellini",1
"Titian","Giorgione",1
"Titian","Murillo",1
"Titian","Palma Giovane",1
"Titian","Palma Vecchio",1
"Titian","Pordenone",1
"Titian","Veronese",1
"Titian","Albani",1
"Titian","Caravaggio",1
"Titian","Guercino",1
"Titian","Lanfranco",1
"Titian","Pourbus",1
"Titian","Van Leyden",1
"Titian","Diepenbeck",1
"Titian","J. Jordaens",1
"Titian","Rembrandt",1
"Titian","Teniers",1
"Titian","Bourdon",1
"Veronese","Da Udine",1
