"row ID","sum_1"
"Albani",44
"Barocci",45
"Bassano",31
"Bellini",24
"Bourdon",30
"Caravaggio",28
"Corregio",53
"Cortona",48
"Da Udine",37
"Da Vinci",49
"Del Piombo",44
"Del Sarto",45
"Diepenbeck",41
"Domenichino",58
"Durer",36
"F. Zucarro",39
"Fr. Penni",23
"Fr. Salviata",44
"Giorgione",39
"Guercino",42
"Guilio Romano",49
"Holbein",48
"J. Jordaens",40
"Josepin",28
"L. Jordaens",40
"Lanfranco",42
"Le Brun",56
"Le Suer",49
"Michelangelo",37
"Murillo",33
"Otho Venius",47
"Palma Giovane",41
"Palma Vecchio",27
"Parmigiano",37
"Perino del Vaga",44
"Perugino",30
"Pordenone",44
"Pourbus",31
"Poussin",53
"Primaticcio",46
"Raphael",65
"Rembrandt",50
"Rubens",65
"T. Zucarro",46
"Teniers",46
"Testa",32
"The Carraci",58
"Tintoretto",49
"Titian",51
"Van Dyck",55
"Van Leyden",24
"Vanius",55
"Veronese",44
"Volterra",40
